epoch,train_loss,test_accuracy,test_loss,gate_fraction_open,weight_norm,has_nan,wall_clock_seconds
0,2.303298,0.100000,2.302883,0.805970,43.874671,False,1.68
1,2.343879,0.100000,3.747133,1.000000,44.223543,False,1.69
2,30850.561401,0.100000,158787.350277,1.000000,531.374953,False,1.69
3,1102916.456856,0.100000,3368398.028481,1.000000,1188.520725,False,1.69
4,13115627.036247,0.100000,34182197.670886,1.000000,1852.434646,False,1.67
