epoch,train_loss,test_accuracy,test_loss,gate_fraction_open,weight_norm,has_nan,wall_clock_seconds
0,2787696364667.739746,0.100000,17599893954041.519531,0.805970,761.543466,False,1.61
1,100903511930517.562500,0.100000,224029496481040.187500,1.000000,1438.128208,False,1.62
2,190169950034553.187500,0.100000,86292221491174.078125,1.000000,1121.694964,False,1.61
3,25114984091115.257812,0.100000,413670983083.746826,1.000000,382.265530,False,1.62
4,22548372781.926056,0.100000,3265715397.670886,1.000000,443.406212,False,1.64
