epoch,train_loss,test_accuracy,test_loss,gate_fraction_open,weight_norm,has_nan,wall_clock_seconds
0,2.303552,0.096500,2.303537,0.000000,13.207431,False,1.46
1,2.303552,0.096500,2.303537,0.000000,13.207431,False,1.45
2,2.303549,0.096500,2.303537,0.000000,13.207431,False,1.46
3,2.303554,0.096500,2.303537,0.000000,13.207431,False,1.45
4,2.303549,0.096500,2.303537,0.000000,13.207431,False,1.46
