epoch,train_loss,test_accuracy,test_loss,gate_fraction_open,weight_norm,has_nan,wall_clock_seconds
0,54435378303.267311,0.100000,223320516530.227844,0.805970,598.251823,False,1.63
1,603196840848.648193,0.100000,1088963142357.873413,1.000000,1216.349633,False,1.62
2,1782566646153.006348,0.100000,2573646080129.620117,1.000000,1859.713152,False,1.62
3,3569959348254.567383,0.100000,4657228194310.481445,1.000000,2509.155495,False,1.62
4,5952039603516.588867,0.100000,7325839059281.012695,1.000000,3161.077806,False,1.63
