epoch,train_loss,test_accuracy,test_loss,gate_fraction_open,weight_norm,has_nan,wall_clock_seconds
0,1943807476885.770508,0.100000,12128254901649.822266,0.805970,767.369595,False,1.75
1,85455869635533.781250,0.100000,201665072120430.187500,1.000000,1574.774386,False,1.73
2,440133921395517.687500,0.100000,756402859487387.500000,1.000000,2349.918024,False,1.75
3,1266959981354361.750000,0.100000,1887490903336052.750000,1.000000,3143.765571,False,1.73
4,2776201726188397.500000,0.100000,3800445862463721.500000,1.000000,3945.024808,False,1.69
