epoch,train_loss,test_accuracy,test_loss,gate_fraction_open,weight_norm,has_nan,wall_clock_seconds
0,65836933972.234131,0.100000,207756187310.987335,0.000000,697.191218,False,1.48
1,489920968900.503174,0.100000,843811856487.696167,0.000000,1337.923956,False,1.49
2,1341979245159.709961,0.100000,1907961696307.848145,0.000000,1993.274609,False,1.50
3,2623501590405.731445,0.100000,3400408504812.557129,0.000000,2652.407073,False,1.49
4,4335668199354.132324,0.100000,5320798614074.329102,0.000000,3313.044239,False,1.49
