epoch,train_loss,test_accuracy,test_loss,gate_fraction_open,weight_norm,has_nan,wall_clock_seconds
0,700831582926.448608,0.100000,3581174874112.000000,0.000000,651.597366,False,1.39
1,21245780300151.539062,0.100000,50505810155597.773438,0.000000,1255.522548,False,1.39
2,104084822972525.171875,0.100000,172047617411305.312500,0.000000,1770.987265,False,1.39
3,280237788422371.062500,0.100000,408935732784892.750000,0.000000,2306.953430,False,1.39
4,592356521613735.625000,0.100000,800894219283183.750000,0.000000,2853.329025,False,1.39
