epoch,train_loss,test_accuracy,test_loss,gate_fraction_open,weight_norm,has_nan,wall_clock_seconds
0,2.303604,0.097300,2.303644,0.000000,13.206682,False,1.39
1,2.303682,0.098900,2.303701,0.000000,13.206250,False,1.45
2,2.303726,0.098500,2.303729,0.000000,13.206363,False,1.49
3,2.303762,0.099800,2.303795,0.000000,13.205882,False,1.48
4,2.303816,0.099600,2.303813,0.000000,13.205976,False,1.49
